"name","underlying_type","usr","underlying_type_usr"
"PROCTAB","struct PROCTAB","c:readproc.h@T@PROCTAB","c:@S@PROCTAB"
"disk_stat","struct disk_stat","c:sysinfo.h@T@disk_stat","c:@S@disk_stat"
"jiff","unsigned long long","c:sysinfo.h@T@jiff",""
"message_fn","void (*)(const char *restrict, ...)","c:procps.h@T@message_fn",""
"partition_stat","struct partition_stat","c:sysinfo.h@T@partition_stat","c:@S@partition_stat"
"proc_data_t","struct proc_data_t","c:readproc.h@T@proc_data_t","c:@S@proc_data_t"
"proc_t","struct proc_t","c:readproc.h@T@proc_t","c:@S@proc_t"
"slab_cache","struct slab_cache","c:sysinfo.h@T@slab_cache","c:@S@slab_cache"
